index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
97,B1,23/11/02,Antwerp,Louvieroise,2,1,H,2,1,H,1.8,3.4,3.6,1.85,3.25,3.65,1.85,3.2,3.5,1.8,3.4,3.6,1.7,3.5,3.8,1.55,2.15
98,B1,23/11/02,Bergen,St Truiden,3,0,H,1,0,H,2.5,3.25,2.375,2.5,3.2,2.45,2.4,3.2,2.4,2.5,3.25,2.4,2.5,3.15,2.4,1.4,2.5
99,B1,23/11/02,Charleroi,Germinal,1,6,A,1,2,A,2.25,3.25,2.6,2.4,3.2,2.55,2.3,3.2,2.5,2.375,3.3,2.5,2.45,3.1,2.5,1.45,2.35
100,B1,23/11/02,Club Brugge,Lierse,3,0,H,1,0,H,1.5,3.6,5.5,1.53,3.55,5.75,1.45,3.8,5.4,1.5,3.6,5.5,1.45,3.75,5.5,1.4,2.5
101,B1,23/11/02,Genk,Mechelen,9,0,H,4,0,H,,,,1.24,5.25,9.0,1.25,4.5,9.0,,,,,,,,
102,B1,23/11/02,Standard,Westerlo,3,0,H,1,0,H,1.5,3.6,5.5,1.55,3.55,5.75,1.55,3.5,4.8,1.5,3.6,5.5,1.5,3.75,5.0,1.5,2.25
103,B1,24/11/02,Gent,Beveren,2,1,H,2,0,H,1.5,3.6,5.5,1.53,3.55,5.75,1.4,3.9,6.0,1.5,3.6,5.5,1.5,3.5,5.5,1.4,2.5
104,B1,30/11/02,Beveren,Antwerp,3,1,H,2,0,H,2.375,3.25,2.5,2.3,3.2,2.65,2.4,3.2,2.4,2.4,3.2,2.5,2.4,3.3,2.4,1.45,2.35
105,B1,30/11/02,Lokeren,Bergen,4,0,H,1,0,H,1.533,3.5,5.5,1.5,3.7,5.4,1.55,3.5,4.8,1.533,3.6,5.0,1.55,3.7,4.6,1.45,2.35
106,B1,30/11/02,Louvieroise,Mouscron,2,0,H,1,0,H,2.5,3.1,2.5,2.5,3.1,2.5,2.6,3.1,2.3,2.4,3.2,2.5,2.4,3.3,2.4,1.6,2.05
107,B1,30/11/02,Mechelen,Standard,1,1,D,0,0,D,,,,,,,,,,,,,,,,,
108,B1,30/11/02,Westerlo,Gent,1,0,H,0,0,D,2.4,3.2,2.5,2.4,3.25,2.5,2.4,3.2,2.4,2.4,3.25,2.5,2.35,3.3,2.45,1.45,2.35
109,B1,01/12/02,Germinal,Anderlecht,1,2,A,1,1,D,2.625,3.4,2.2,2.8,3.25,2.2,2.9,3.2,2.1,2.875,3.3,2.1,2.65,3.3,2.2,1.55,2.15
110,B1,01/12/02,Lierse,Genk,1,1,D,0,0,D,2.375,3.25,2.5,2.15,3.2,2.9,2.4,3.2,2.4,2.3,3.25,2.6,2.2,3.3,2.65,1.55,2.15
111,B1,01/12/02,St Truiden,Club Brugge,5,2,H,1,1,D,3.25,3.4,1.9,3.3,3.15,2.0,3.4,3.2,1.9,3.4,3.25,1.909,3.25,3.3,1.9,1.4,2.5
