index,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
138,B1,09/12/00,Mechelen,Anderlecht,0,2,A,0,1,A,6.0,3.8,1.45,4.7,3.4,1.5,5.25,3.6,1.5,4.75,3.8,1.5
139,B1,09/12/00,Louvieroise,Gent,1,1,D,0,0,D,3.2,3.5,1.9,3.5,3.0,1.8,3.25,3.3,1.91,3.1,3.45,1.9
140,B1,09/12/00,St Truiden,Charleroi,1,3,A,1,2,A,2.5,3.2,2.45,2.35,3.0,2.35,2.38,3.2,2.5,2.35,3.35,2.4
141,B1,09/12/00,Westerlo,Beveren,1,2,A,0,2,A,1.6,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5.0,1.5,3.8,4.8
142,B1,10/12/00,Aalst,Antwerp,0,4,A,0,2,A,2.0,3.1,3.4,2.0,3.0,2.9,1.91,3.25,3.3,2.0,3.4,2.9
143,B1,10/12/00,Club Brugge,Lierse,1,0,H,1,0,H,1.25,4.8,9.0,1.25,4.3,8.0,1.25,4.75,8.0,1.3,4.4,7.0
144,B1,10/12/00,Harelbeke,Lokeren,1,6,A,1,2,A,2.7,3.2,2.3,2.8,3.0,2.1,2.63,3.25,2.25,2.55,3.3,2.25
145,B1,15/12/00,Charleroi,Westerlo,2,2,D,0,1,A,1.9,3.2,3.6,1.8,3.0,3.5,1.8,3.5,3.4,1.8,3.5,3.35
146,B1,16/12/00,Gent,Germinal,3,1,H,2,1,H,1.65,3.3,4.6,1.65,3.2,3.9,1.62,3.5,4.33,1.6,3.6,4.25
147,B1,16/12/00,Anderlecht,Aalst,3,0,H,2,0,H,1.15,6.0,11.0,1.1,7.0,14.0,1.14,6.0,11.0,1.1,6.8,12.0
148,B1,16/12/00,Antwerp,St Truiden,2,0,H,0,0,D,1.85,3.2,3.6,1.8,3.0,3.5,1.75,3.4,3.75,1.7,3.5,3.8
149,B1,16/12/00,Beveren,Harelbeke,2,1,H,0,0,D,1.45,3.7,6.0,1.45,3.5,5.0,1.44,3.6,6.0,1.5,3.8,4.8
150,B1,16/12/00,Lierse,Mechelen,1,1,D,1,1,D,1.4,3.8,6.8,1.3,4.0,7.0,1.44,3.6,6.0,1.45,3.6,5.8
151,B1,16/12/00,Lokeren,Standard,2,1,H,0,1,A,2.7,3.3,2.2,2.6,3.0,2.2,2.6,3.4,2.2,2.65,3.35,2.15
152,B1,16/12/00,Mouscron,Louvieroise,0,0,D,0,0,D,1.3,4.5,7.5,1.25,4.3,8.0,1.29,4.33,8.0,1.25,4.7,8.0
153,B1,17/12/00,Genk,Club Brugge,0,1,A,0,1,A,4.2,3.8,1.6,3.9,3.2,1.65,4.2,3.6,1.62,4.0,3.4,1.72
154,B1,20/12/00,Anderlecht,St Truiden,3,2,H,0,2,A,1.12,6.5,12.0,1.15,5.5,11.0,1.17,5.25,11.0,1.1,6.8,12.0
155,B1,20/12/00,Antwerp,Westerlo,1,3,A,1,1,D,2.3,3.3,2.6,2.35,3.0,2.35,2.25,3.2,2.63,2.2,3.4,2.55
156,B1,20/12/00,Charleroi,Beveren,5,0,H,3,0,H,1.65,3.6,4.0,1.6,3.3,4.0,1.62,3.5,4.33,1.65,3.55,4.0
157,B1,20/12/00,Germinal,Mouscron,4,1,H,2,0,H,2.25,3.5,2.5,2.3,3.1,2.3,2.3,3.2,2.6,,,
158,B1,20/12/00,Genk,Mechelen,3,1,H,1,0,H,1.55,3.6,4.7,1.5,3.4,4.7,1.57,3.5,4.75,1.65,3.6,3.9
159,B1,20/12/00,Lierse,Aalst,2,0,H,2,0,H,1.45,3.5,7.0,1.45,3.5,5.0,1.44,3.75,5.75,1.45,3.75,5.5
160,B1,20/12/00,Lokeren,Louvieroise,3,1,H,0,0,D,1.35,4.0,8.0,1.4,3.6,5.5,1.4,3.75,6.5,1.4,3.9,6.0
161,B1,20/12/00,Standard,Harelbeke,3,0,H,1,0,H,1.15,6.0,12.0,1.2,4.7,9.0,1.2,5.0,10.0,1.15,6.0,10.0
162,B1,19/01/01,Club Brugge,Mouscron,2,2,D,1,1,D,1.25,4.5,8.5,1.25,4.3,8.0,1.25,4.6,8.5,1.3,4.5,7.0
163,B1,20/01/01,Beveren,Antwerp,2,1,H,2,1,H,2.05,2.9,3.2,2.0,2.9,3.0,2.0,3.4,2.9,2.0,3.5,2.9
164,B1,20/01/01,Germinal,Lokeren,2,0,H,0,0,D,1.9,3.1,3.5,1.85,3.0,3.3,1.83,3.4,3.4,1.8,3.5,3.4
165,B1,20/01/01,Mechelen,Gent,3,3,D,0,3,A,3.2,2.8,2.1,2.8,3.0,2.1,3.2,3.1,2.0,2.75,3.4,2.1
